case,case_group,method,sample_count,q_median,q_p95,median_95_volume_m3,coverage_50,coverage_90,coverage_95,coverage_99
harsh,natural,same_subset_cu,526,1.231915003938226,9.824337864763905,39072.5715737664,0.6939163498098859,0.9220532319391636,0.9315589353612167,0.9581749049429658
harsh,natural,same_subset_ci,526,4.352545209711385,103.10180245903302,8680.713310390125,0.37832699619771865,0.5285171102661597,0.5551330798479087,0.5988593155893536
harsh,natural,independence_average,526,3.693200612000913,33.40909922367178,10905.314944939331,0.41825095057034223,0.6102661596958175,0.6444866920152091,0.7091254752851711
harsh,natural,marginal_average,526,2.4916267421183154,22.04882005136354,15864.004947041125,0.4866920152091255,0.7338403041825095,0.7889733840304183,0.8783269961977186
harsh,natural,selected_member_marginal,872,2.52391107329859,88.40899402552108,13030.944806800653,0.4873853211009174,0.6559633027522935,0.6811926605504587,0.7236238532110092
phone,natural,proposed_envelope,302,10.157206863075249,119.10172642860077,50783.0357171137,0.16887417218543047,0.39072847682119205,0.45364238410596025,0.5331125827814569
phone,natural,same_subset_cu,302,10.314320223155775,119.10172642860077,49421.88193514716,0.16225165562913907,0.3841059602649007,0.4470198675496689,0.5298013245033113
phone,natural,same_subset_ci,302,22.84288397519812,206.72859735857824,19741.958155760003,0.052980132450331126,0.22847682119205298,0.2847682119205298,0.3509933774834437
phone,natural,independence_average,302,22.40800483120183,171.5805075819012,18571.727820189648,0.04966887417218543,0.24172185430463577,0.2947019867549669,0.3675496688741722
phone,natural,marginal_average,302,17.381930670318702,124.65939795524739,33610.549606845256,0.07947019867549669,0.2913907284768212,0.33774834437086093,0.40728476821192056
phone,natural,selected_member_marginal,427,22.801043486859545,179.88011298391618,26764.08212285162,0.0702576112412178,0.234192037470726,0.2927400468384075,0.35362997658079626
novatel_step,controlled_fault,proposed_envelope,142,0.341998682628853,4.695825027074435,50490.77713759303,0.8661971830985915,0.971830985915493,1.0,1.0
novatel_step,controlled_fault,same_subset_cu,142,0.4869615157715187,5.314817341872664,47989.11822492854,0.8661971830985915,0.9577464788732394,0.9859154929577465,1.0
novatel_step,controlled_fault,same_subset_ci,142,4.418827982562105,24.24882814695151,1887.666817753535,0.323943661971831,0.5774647887323944,0.6126760563380281,0.7394366197183099
novatel_step,controlled_fault,independence_average,142,1.432143873401702,47.85210460595934,7123.296253198275,0.5845070422535211,0.7676056338028169,0.823943661971831,0.8380281690140845
novatel_step,controlled_fault,marginal_average,142,0.716071936700851,23.92605230297967,20147.72434014891,0.7323943661971831,0.8380281690140845,0.852112676056338,0.8591549295774648
novatel_step,controlled_fault,selected_member_marginal,284,2.041415388410688,43.466243603807065,5231.413914138795,0.5246478873239436,0.676056338028169,0.6971830985915493,0.7887323943661971
novatel_ramp,controlled_fault,proposed_envelope,142,0.7349832107986538,3.5742399363869066,47566.66449740894,0.852112676056338,0.9859154929577465,0.9929577464788732,1.0
novatel_ramp,controlled_fault,same_subset_cu,142,0.7388513816012554,3.8611745852354553,47366.669040223074,0.8309859154929577,0.9788732394366197,0.9859154929577465,1.0
novatel_ramp,controlled_fault,same_subset_ci,142,4.4188279825620995,24.248828146951443,1887.666817753535,0.323943661971831,0.5774647887323944,0.6126760563380281,0.7394366197183099
novatel_ramp,controlled_fault,independence_average,142,2.8607158911704653,28.295110556655423,6111.73725586131,0.4295774647887324,0.704225352112676,0.7887323943661971,0.852112676056338
novatel_ramp,controlled_fault,marginal_average,142,1.4303579455852327,14.147555278327712,17286.60343379997,0.6408450704225352,0.8661971830985915,0.9084507042253521,0.9436619718309859
